FileID	SampleID	Individual	Tissue	Date	Timepoint
p23259_Gerardo_30RNASeq-s001_Z15228-RNA-Seq-05-09-23	s001	Z15228	PBMC	05-09-23	1
p23259_Gerardo_30RNASeq-s002_Z13076-RNA-Seq-05-16-23	s002	Z13076	PBMC	05-16-23	1
p23259_Gerardo_30RNASeq-s003_Z15339-RNA-Seq-05-30-23	s003	Z15339	PBMC	05-30-23	1
p23259_Gerardo_30RNASeq-s004_Z15303-RNA-Seq-05-30-23	s004	Z15303	PBMC	05-30-23	1
p23259_Gerardo_30RNASeq-s005_Z15408-RNA-Seq-05-30-23	s005	Z15408	PBMC	05-30-23	1
p23259_Gerardo_30RNASeq-s006_Z15228-RNA-Seq-07-05-23	s006	Z15228	PBMC	07-05-23	2
p23259_Gerardo_30RNASeq-s007_Z13076-RNA-Seq-07-11-23	s007	Z13076	PBMC	07-11-23	2
p23259_Gerardo_30RNASeq-s008_Z15339-RNA-Seq-07-25-23	s008	Z15339	PBMC	07-25-23	2
p23259_Gerardo_30RNASeq-s009_Z15303-RNA-Seq-07-25-23	s009	Z15303	PBMC	07-25-23	2
p23259_Gerardo_30RNASeq-s010_Z15408-RNA-Seq-07-25-23	s010	Z15408	PBMC	07-25-23	2
p23259_Gerardo_30RNASeq-s011_Z15228-RNA-Seq-08-01-23	s011	Z15228	PBMC	08-01-23	3
p23259_Gerardo_30RNASeq-s012_Z13076-RNA-Seq-08-08-23	s012	Z13076	PBMC	08-08-23	3
p23259_Gerardo_30RNASeq-s013_Z15339-RNA-Seq-08-22-23	s013	Z15339	PBMC	08-22-23	3
p23259_Gerardo_30RNASeq-s014_Z15303-RNA-Seq-08-22-23	s014	Z15303	PBMC	08-22-23	3
p23259_Gerardo_30RNASeq-s015_Z15408-RNA-Seq-08-22-23	s015	Z15408	PBMC	08-22-23	3
p23259_Gerardo_30RNASeq-s016_Z15229-Rectal-Biopsy-RNA-Seq-05-09-23	s016	Z15229	rectal-biopsy	05-09-23	1
p23259_Gerardo_30RNASeq-s017_Z13076-Rectal-Biopsy-RNA-Seq-05-16-23	s017	Z13076	rectal-biopsy	05-16-23	1
p23259_Gerardo_30RNASeq-s018_Z15339-Rectal-Biopsy-RNA-Seq-05-30-23	s018	Z15339	rectal-biopsy	05-30-23	1
p23259_Gerardo_30RNASeq-s019_Z15303-Rectal-Biopsy-RNA-Seq-05-30-23	s019	Z15303	rectal-biopsy	05-30-23	1
p23259_Gerardo_30RNASeq-s020_Z15408-Rectal-Biopsy-RNA-Seq-05-30-23	s020	Z15408	rectal-biopsy	05-30-23	1
p23259_Gerardo_30RNASeq-s021_Z15228-Rectal-Biopsy-RNA-Seq-07-05-23	s021	Z15228	rectal-biopsy	07-05-23	1
p23259_Gerardo_30RNASeq-s022_Z13076-Rectal-Biopsy-RNA-Seq-07-11-23	s022	Z13076	rectal-biopsy	07-11-23	2
p23259_Gerardo_30RNASeq-s023_Z15339-Rectal-Biopsy-RNA-Seq-07-25-23	s023	Z15339	rectal-biopsy	07-25-23	2
p23259_Gerardo_30RNASeq-s024_Z15303-Rectal-Biopsy-RNA-Seq-07-25-23	s024	Z15303	rectal-biopsy	07-25-23	2
p23259_Gerardo_30RNASeq-s025_Z15408-Rectal-Biopsy-RNA-Seq-07-25-23	s025	Z15408	rectal-biopsy	07-25-23	2
p23259_Gerardo_30RNASeq-s026_Z15228-Rectal-Biopsy-RNA-Seq-08-01-23	s026	Z15228	rectal-biopsy	08-01-23	2
p23259_Gerardo_30RNASeq-s027_Z13076-Rectal-Biopsy-RNA-Seq-08-08-23	s027	Z13076	rectal-biopsy	08-08-23	3
p23259_Gerardo_30RNASeq-s028_Z15339-Rectal-Biopsy-RNA-Seq-08-22-23	s028	Z15339	rectal-biopsy	08-22-23	3
p23259_Gerardo_30RNASeq-s029_Z15303-Rectal-Biopsy-RNA-Seq-08-22-23	s029	Z15303	rectal-biopsy	08-22-23	3
p23259_Gerardo_30RNASeq-s030_Z15408-Rectal-Biopsy-RNA-Seq-08-22-23	s030	Z15408	rectal-biopsy	08-22-23	3
